Date,Height (cm)
24/04/10,169
09/05/10,169.5
24/07/10,172
24/01/11,173.5
17/06/11,174.5
08/10/11,177.5
17/12/11,178.5
18/06/12,182.5
11/09/12,183.5
21/10/12,185
17/12/12,186
06/01/13,187
23/03/13,187.8
25/04/13,189
12/05/13,189.5
12/09/13,191
21/10/13,192
08/12/13,192.5
16/04/14,194.5
30/12/14,195
06/04/15,196
29/01/16,197
16/04/17,198
31/03/18,198
