Date,Height (cm)
23/04/10,153.5
24/07/10,154.5
08/01/11,156.6
17/02/11,157
09/10/11,159
17/12/11,160
01/03/12,162
19/06/12,162.5
21/10/12,165
06/01/13,166
23/03/13,166.5
25/04/13,167.5
12/09/13,169
08/12/13,170
16/04/14,173.5
30/04/14,179
06/04/15,182.5
15/11/15,185.5
13/01/16,187.5
06/10/16,189.5
16/04/17,190
31/03/18,191.5
